01 N A INDUSTRIA E COMERCIO DE CONFECCOES LTDA;;;;;;;;;;;;
;;;;;;;;;;;;
Categoria :TODAS;;;;;;;;;;;;
SubCategoria :TODAS;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Familia;Sub-Familia;Codigo;Codigo Comercial;Descricao;Peso Embalagem;Peso Produto;Unidade Caixa;Caixa por Pallet;M3 por Caixa;M3 por Produto;Unidade Medida Padrao;Unidade Medida Provedor
ABAS;BRANCA;11868;11868;ABA ALFA 104 NORMAL BRANCA;1;1;0;0;0;0;KILOS;KILOS
ABAS;BRANCA;12267;12267;ABA ALFA 05 VISEIRA NORMAL BRANCA;1;1;0;0;0;0;KILOS;KILOS
ABAS;BRANCA;19205;19205;ABA BRANCA A69 / G32;1;1;0;0;0;0;KILOS;KILOS
ABAS;BRANCA;20180;20180;ABA BRANCA A 15 VISEIRA;1;1;0;0;0;0;KILOS;KILOS
ABAS;BRANCA;20711;20711;ABA BRANCA G37;1;1;0;0;0;0;KILOS;KILOS
ABAS;BRANCA;2988;2988;ABA ALFA 15 VISEIRA NORMAL BRANCA;1;1;0;0;0;0;KILOS;KILOS
ABAS;BRANCA CURVA;15419;15419;ABA BRANCA CURVA A69 / G32;1;1;0;0;0;0;KILOS;KILOS
ABAS;BRANCA CURVA;3617;3617;ABA  ALFA 20 CURVA NORMAL BRANCA;1;1;0;0;0;0;KILOS;KILOS
ABAS;BRANCA EXPANDIDA CURVA;13044;13044;ABA EXPANDIDA BRANCA CURVA  A 145;1;1;0;0;0;0;KILOS;KILOS
ABAS;BRANCA EXPANDIDA CURVA;3004;3004;ABA EXPANDIDA BRANCA CURVA A69 / G32;1;1;0;0;0;0;KILOS;KILOS
ABAS;EXPANDIDA;10016;10016;ABA EXPANDIDA A159 / G02;1;1;0;0;0;0;KILOS;KILOS
ABAS;EXPANDIDA;215;215;ABA EXPANDIDA A58 / G30;1;1;0;0;0;0;KILOS;KILOS
ABAS;EXPANDIDA;218;218;ABA ALFA 20 EXPANDIDA PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;EXPANDIDA;221;221;ABA EXPANDIDA A82 / G15;1;1;0;0;0;0;KILOS;KILOS
ABAS;EXPANDIDA;2604;2604;ABA EXPANDIDA G 146 B;1;1;0;0;0;0;KILOS;KILOS
ABAS;EXPANDIDA;3400;3400;ABA EXPANDIDA A 145;1;1;0;0;0;0;KILOS;KILOS
ABAS;EXPANDIDA CURVA;15418;15418;ABA EXPANDIA CURVA A69 / G32;1;1;0;0;0;0;KILOS;KILOS
ABAS;EXPANDIDA CURVA;19117;19117;ABA EXPANDIDA CURVA A163 / G26;1;1;0;0;0;0;KILOS;KILOS
ABAS;EXPANDIDA CURVA;2584;2584;ABA EXPANDIDA CURVA A58 / G30;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;11330;11330;ABA ALFA 82 NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;15308;15308;ABA NORMAL A69 / G32;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;15689;15689;PALA LAMINADA 28CM X 1.0MM PRETO;0,1;0,1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;19152;19152;ABA NORMAL A15 VISEIRA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;20191;20191;ABA NORMAL A 119;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;206;206;ABA ALFA 05 VISEIRA NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;207;207;ABA NORMAL A 38 VISEIRA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;214;214;ABA ALFA 26 NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;220;220;ABA ALFA 00 INFANTIL NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;234;234;ABA ALFA 34 NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;235;235;ABA ALFA 141 NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;2471;2471;ABA NORMAL G100 VISEIRA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;255;255;ABA ALFA 41 INFANTIL NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;257;257;ABA ALFA 20 NORMAL PRETA;1;1;0;0;0;0;KILOS;KILOS
ABAS;NORMAL;258;258;ABA NORMAL A 03;1;1;0;0;0;0;KILOS;KILOS
