Empresa.....: N A INDUSTRIA E COMERCIO DE CONFECCOES LTDA;;;;Data/Hora.: 09/04/2024 16:43:11;;;;;;;;;;;;
TABELA DE PREÇO;;;;Usuário.: MARCELO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Descrição...: TABELA DE PRECO 18/03;;;;;;;;;;;;;;;;
Dt. Inicial...........: 17/03/2013;;Dt. Final.......: 31/12/2050;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Código;Código Comercial;Produto;Preço de Venda;COMISSAO 1 %;COMISSAO 2 %;COMISSAO 3 %;COMISSAO 4 %;COMISSAO 5 %;COMISSAO 6 %;COMISSAO 7 %;COMISSAO 8 %;COMISSAO 9 %;COMISSAO 10 %;;;
3617;3617;ABA  ALFA 20 CURVA NORMAL BRANCA;21,6500;21,8665;22,0830;22,2995;22,5160;22,7325;22,9490;23,1655;23,3820;23,5985;23,8150;;;
220;220;ABA ALFA 00 INFANTIL NORMAL PRETA;15,0000;15,1500;15,3000;15,4500;15,6000;15,7500;15,9000;16,0500;16,2000;16,3500;16,5000;;;
4130;4130;ABA ALFA 03 NORMAL PRETA;15,0000;15,1500;15,3000;15,4500;15,6000;15,7500;15,9000;16,0500;16,2000;16,3500;16,5000;;;
12267;12267;ABA ALFA 05 VISEIRA NORMAL BRANCA;31,3000;31,6130;31,9260;32,2390;32,5520;32,8650;33,1780;33,4910;33,8040;34,1170;34,4300;;;
206;206;ABA ALFA 05 VISEIRA NORMAL PRETA;25,6000;25,8560;26,1120;26,3680;26,6240;26,8800;27,1360;27,3920;27,6480;27,9040;28,1600;;;
11868;11868;ABA ALFA 104 NORMAL BRANCA;21,6500;21,8665;22,0830;22,2995;22,5160;22,7325;22,9490;23,1655;23,3820;23,5985;23,8150;;;
3402;3402;ABA ALFA 119 NORMAL 2.0 PRETA;15,0000;15,1500;15,3000;15,4500;15,6000;15,7500;15,9000;16,0500;16,2000;16,3500;16,5000;;;
235;235;ABA ALFA 141 NORMAL PRETA;15,0000;15,1500;15,3000;15,4500;15,6000;15,7500;15,9000;16,0500;16,2000;16,3500;16,5000;;;
2988;2988;ABA ALFA 15 VISEIRA NORMAL BRANCA;31,3000;31,6130;31,9260;32,2390;32,5520;32,8650;33,1780;33,4910;33,8040;34,1170;34,4300;;;
259;259;ABA ALFA 20 CURVA NORMAL PRETA;15,0000;15,1500;15,3000;15,4500;15,6000;15,7500;15,9000;16,0500;16,2000;16,3500;16,5000;;;
218;218;ABA ALFA 20 EXPANDIDA PRETA;17,7000;17,8770;18,0540;18,2310;18,4080;18,5850;18,7620;18,9390;19,1160;19,2930;19,4700;;;
257;257;ABA ALFA 20 NORMAL PRETA;15,0000;15,1500;15,3000;15,4500;15,6000;15,7500;15,9000;16,0500;16,2000;16,3500;16,5000;;;
318;318;ABA ALFA 231 NORMAL PRETA;15,0000;15,1500;15,3000;15,4500;15,6000;15,7500;15,9000;16,0500;16,2000;16,3500;16,5000;;;
3587;3587;ABA ALFA 25 NORMAL PRETA;15,0000;15,1500;15,3000;15,4500;15,6000;15,7500;15,9000;16,0500;16,2000;16,3500;16,5000;;;
